Age,Income,Credit_History_Years,Debt_to_Income_Ratio,Employment_Years,Education_Level,Marital_Status,Number_of_Dependents,Outstanding_Debt,Home_Ownership,Number_of_Credit_Cards,Monthly_Expenses,Employment_Status,Previous_Defaults,Credit_Limit,Loan_Amount,Loan_Term_Months,Credit_Score
55,141266,8.076297573431942,0.41348195851300074,22,1,1,2,34507,0,0,6152,1,1,18296,22681,41,348
38,77003,24.87587337410746,0.6364057677419397,10,3,1,1,21532,2,7,6007,1,1,28849,32604,14,684
57,23679,0.19777216016817034,0.2322879276355424,13,4,1,3,9423,2,5,7161,3,0,7581,16356,107,363
56,115025,6.693448756160004,0.649878664448666,2,1,1,4,5423,0,3,8823,2,2,42461,16592,63,587
38,60308,18.15722272716546,0.9999738676462568,6,1,1,1,25160,2,8,5471,3,0,40674,17155,75,788
27,95024,2.901315059215277,0.595287639396805,39,1,0,1,12082,0,0,4691,2,2,35380,41242,37,833
55,59842,13.989366478379688,0.6283585626419088,10,1,1,2,12063,0,8,9205,1,2,19188,30096,116,304
63,85408,13.08621889447109,0.11151982446199749,32,2,0,4,32628,2,1,2124,0,2,19781,46297,25,452
21,89532,25.575690204652908,0.4033814716659846,18,3,1,4,37783,1,5,9413,3,2,22791,32172,13,485
62,73938,18.7619157950044,0.8607248984828896,22,2,1,0,42356,2,7,7356,3,0,32020,20499,69,815
37,25695,19.19106186477308,0.8342719736583323,22,4,0,3,36281,1,1,1254,0,2,36741,47015,56,551
34,115740,28.554228053674976,0.5223991103613219,28,3,0,3,35219,2,4,7789,1,1,6169,6255,61,341
24,78499,29.47081125970125,0.9034541497377725,5,2,0,1,20084,2,9,4991,3,0,15905,43469,15,656
21,43382,19.60184196458516,0.14293701820571802,38,3,0,1,47337,2,9,3572,2,2,15492,12424,20,336
46,34235,15.660043504561628,0.6581894046615252,4,2,0,2,7594,1,3,5595,3,1,20880,34124,21,423
31,82223,18.237601753946397,0.2488835765021954,31,4,0,4,38276,1,4,1493,3,2,40572,49395,111,635
20,22366,11.473311151624811,0.6455614051052366,39,2,1,3,39379,0,9,1080,3,0,43922,26795,19,369
41,47467,29.62369850880232,0.0873996891051958,25,4,0,0,2767,1,3,9137,3,1,27490,49240,92,532
54,79316,21.150637784905765,0.9436090951049387,13,1,1,3,26443,1,2,2228,1,1,39363,11592,70,768
33,132468,8.73020383137494,0.7863320395904927,17,2,0,3,23649,1,3,4562,0,2,31035,30144,118,344
69,26764,1.7329889691620526,0.2009615648958908,20,1,0,3,47514,2,4,9416,3,2,49816,14334,30,514
21,110896,1.3416578745590346,0.6372765685720373,24,4,1,1,35112,1,0,8780,2,2,33738,22293,33,415
41,133831,6.147389415796175,0.7591456405374711,19,1,1,4,45435,2,3,1836,0,0,43956,45481,118,571
51,81836,6.987391627593348,0.2094458218293609,23,2,0,4,47857,2,8,7624,2,0,17590,49112,110,706
47,51923,12.451364818617007,0.0933303077139771,2,3,1,3,24233,2,7,4169,2,2,41491,21246,36,353
35,143961,6.445380349087615,0.35177976609569983,21,2,0,4,11368,2,4,2778,2,2,34465,21180,95,439
36,115711,18.927312925852338,0.135754341195232,7,1,0,2,13890,1,2,4284,3,1,48549,14288,64,686
48,36292,6.337641924317453,0.5657117051042293,28,1,1,1,14312,2,1,6325,3,1,22083,17164,36,800
36,144913,5.636296168234379,0.424114909573415,6,2,0,1,7644,1,7,7746,2,1,9139,7669,26,397
66,21614,14.137109784011097,0.46242433810090544,5,2,1,4,44780,0,7,3470,2,1,18709,19749,79,451
63,40939,26.660057979714566,0.5428634773412074,5,2,1,3,15099,0,4,5837,2,2,46086,23705,38,337
36,132700,14.049164621359026,0.9820521459426015,11,2,1,3,16466,2,6,1431,1,0,12547,37121,16,566
39,38800,12.41546233716501,0.7926356664011089,21,4,0,3,16916,0,0,9987,0,1,26048,37258,31,759
41,76440,17.342847223791264,0.6294714949828507,25,3,0,4,5835,0,5,3828,3,0,11986,27360,36,557
62,43246,7.716410362548855,0.36370561447933614,24,1,1,3,49131,0,9,4938,1,0,30350,24721,86,477
29,147521,10.603096634713033,0.027069353136965124,18,4,0,4,25046,2,8,6122,1,0,14351,33668,96,617
47,72805,6.415057670013917,0.11652761071875173,35,2,0,0,26267,0,6,1750,1,1,43230,29557,91,399
55,141327,17.15429983823051,0.7308672505393837,34,2,1,4,6846,2,4,3688,3,1,40419,27287,114,487
48,69648,20.92162684707646,0.36920392824192283,12,4,1,2,11199,1,5,5147,1,1,27428,49581,79,570
53,135192,20.210959229717155,0.33443743584264485,24,2,0,3,15158,0,6,3569,3,1,44734,49031,98,604
36,76851,7.644534538942853,0.8889783585908492,31,1,1,3,11787,2,5,5359,0,2,25850,8871,106,358
65,51688,23.38944617243901,0.4845088905137711,29,1,0,1,28545,1,4,7713,1,1,23761,45067,38,521
62,113498,7.678609957497907,0.8995770574131097,20,1,0,4,39866,0,1,9880,3,0,7480,28680,49,405
53,49764,4.509346538032889,0.8866385104021997,39,4,1,0,21771,0,2,3337,2,2,16565,10299,20,342
47,52470,10.49426246061583,0.08018129171455446,7,2,1,3,26342,2,3,8147,0,1,17946,45754,74,473
66,145088,17.93232267512649,0.9453629784335357,6,4,0,1,47377,0,4,4316,2,1,39611,45905,57,462
50,58501,4.26005456413194,0.07695488360755742,2,1,0,4,28537,0,0,9094,1,1,30978,27343,82,629
35,77207,19.442613363253688,0.9635061152472127,36,4,0,1,6392,2,9,7885,1,0,26785,23719,31,709
69,82157,25.892039887604728,0.4526149175993903,2,2,1,0,10621,1,6,1460,3,1,36150,15166,40,772
66,23216,8.794215307742116,0.7608606757545763,17,2,1,4,45707,1,7,6234,2,0,49515,49979,31,723
45,42072,13.506198483453584,0.7061443671898534,8,3,1,3,25937,0,6,6757,3,1,14110,47946,102,462
64,113778,6.849312768755343,0.5184949743245285,23,3,1,4,2693,2,4,7850,1,1,16770,21180,67,467
28,144288,10.837851872111846,0.6194548188356432,6,3,0,3,14087,1,0,3818,1,0,29655,12070,109,713
62,57132,0.6591171240752225,0.9499181814991947,32,1,0,2,27790,1,8,3222,3,1,47244,12894,90,819
50,130573,28.613081886384812,0.9273514906632403,24,3,0,3,40683,1,1,2651,1,1,34037,16940,27,565
34,140730,12.476706396365852,0.6543260502590869,33,1,0,1,6662,1,9,3586,1,2,41853,18424,47,732
23,37861,23.666103294542406,0.6577186789345252,37,4,1,0,13532,2,0,2417,0,2,38157,36730,57,812
21,84186,4.279303120695289,0.24693869339183805,20,2,1,4,14393,1,1,7083,2,1,48830,9219,110,420
37,132133,24.370651323011966,0.8286234947181238,37,4,1,2,33688,1,3,9321,0,0,23719,43364,54,755
65,24960,25.80441932886603,0.6326033330020768,39,3,0,2,48332,1,1,8353,1,0,41544,17731,43,622
64,38781,21.464313860630376,0.8262487919984304,17,3,0,2,23996,0,5,1068,0,2,7673,48311,79,474
44,126605,27.096249749502164,0.6578524102879766,38,1,1,1,24799,1,7,7261,3,2,16774,14853,90,383
32,146434,5.015913884044091,0.299320026031615,32,1,0,3,43659,0,8,4079,2,2,18766,6752,46,379
23,51126,14.2944548636586,0.18948140273081326,27,4,0,2,19992,1,7,1467,1,0,49934,41015,103,497
64,127145,18.60328596048472,0.07696584422315544,24,4,0,0,38546,2,7,9845,2,0,27128,48905,44,452
31,42578,17.88578912092462,0.5859949322601269,13,3,0,0,41769,2,8,6339,2,0,12774,42252,45,469
28,142258,25.831228035788946,0.284051357508735,19,1,0,4,18678,2,7,3429,1,1,35564,26901,101,413
56,126034,6.470741039186571,0.6305095145908143,38,1,1,0,16907,0,1,8968,3,1,22058,34581,17,791
26,37883,5.269314976165992,0.05865644488377153,19,4,1,3,31714,0,6,7957,0,1,45205,46958,78,653
43,49782,7.601357845738543,0.3756630650056271,6,1,0,3,39063,1,2,6294,2,2,10473,16636,61,707
33,76387,26.746501482386122,0.2605532153697756,3,4,0,2,23328,2,0,6742,2,2,11798,43993,104,364
22,36979,28.23081247972724,0.37033407800111307,30,2,0,3,16803,1,9,8511,3,2,29891,18304,116,506
69,53746,17.08890312809992,0.054283429756587065,29,3,1,3,131,1,8,1257,1,2,47217,36102,34,612
27,86266,15.041158037115594,0.7241814188334466,36,1,0,2,23985,2,7,7376,3,2,33005,24266,30,795
67,20056,18.16156824037969,0.11669733314297326,20,1,0,4,6261,1,5,6946,3,0,35289,36686,76,718
20,51457,18.48922949540082,0.014402626348153258,0,2,0,3,45425,0,1,9127,3,1,40429,40194,57,723
30,22243,5.109141148304874,0.9462891013893335,2,2,0,3,45756,0,0,4513,3,2,14182,15251,109,466
60,75031,20.592326448693907,0.1928763823650499,12,2,1,1,20999,2,9,1913,3,1,24941,43707,35,315
66,21701,13.570533070452766,0.8280612984454607,6,4,0,4,4742,2,5,8844,1,1,47371,9303,55,345
47,76381,15.521458765441356,0.9644705997571243,5,4,1,2,3943,2,4,9476,1,2,23163,23321,69,792
62,70438,0.9094981300546645,0.5341211995687619,5,2,0,1,13720,2,1,4388,3,0,18001,17706,113,822
23,93839,22.93669897593091,0.5261181600475464,33,3,0,1,33711,1,0,5720,3,0,18046,22463,47,537
34,100636,25.062838838036452,0.36741724498340966,31,3,0,4,31310,1,2,9143,0,0,9001,21159,12,522
62,131302,18.582646618036396,0.4255948647753949,15,1,0,3,5777,2,4,3124,3,0,28471,37841,105,709
68,127697,22.461709058899878,0.4820753969533401,37,4,0,2,37130,2,8,4219,0,1,6723,11813,98,333
36,86483,15.681180095163057,0.1520944037206292,7,3,0,4,5341,1,7,5930,0,0,49727,28213,89,587
59,40505,18.550601369356666,0.36473672394035916,20,1,1,1,21916,1,8,8525,2,0,38505,17352,50,434
52,26553,11.837150953897158,0.8161084426094453,10,3,0,0,2646,0,4,6222,3,2,37170,32080,38,755
63,53525,23.756227951875378,0.18239811958147245,22,4,1,2,30974,1,3,7541,1,0,22868,5864,93,669
43,100402,14.048127907934779,0.7298532469541154,5,3,1,0,4562,2,2,1336,1,1,29159,30551,96,664
68,116008,20.40638713256648,0.6515866002681907,14,3,0,3,2565,2,2,1465,2,2,32183,7025,48,592
22,64348,18.64288135858514,0.057297775282659114,10,4,1,4,37096,0,3,2035,3,1,11472,16378,49,507
46,91187,21.069435551572493,0.022428868437680438,26,1,0,3,21518,0,4,9091,1,2,35078,39054,62,819
54,27273,23.5564762537567,0.352528462578349,14,1,0,4,19996,0,9,1716,3,0,7273,15333,94,517
37,84236,15.381404447789853,0.6921702771318411,37,2,0,1,42175,1,6,4979,3,1,16827,42698,27,309
66,95569,24.391978477670058,0.33041792736066156,3,1,0,3,42862,1,8,9317,0,1,44967,28238,72,431
38,23535,14.91771711814827,0.6677333006004939,13,2,1,0,26853,2,3,1643,1,0,22449,26849,102,518
27,38677,28.699029685918102,0.6654581430279816,9,4,1,1,22742,2,4,5051,1,2,48439,17135,87,794
22,103024,22.580152458443827,0.8065546226242687,28,1,0,4,48759,0,4,5280,3,0,35032,14623,78,600
53,127157,5.134249492381925,0.09948561470384476,11,4,1,1,2188,0,3,8724,1,1,42369,34305,12,589
23,20908,24.88753414090294,0.5771288911874637,39,1,0,0,5587,1,2,9750,3,0,22778,5207,62,698
43,141227,16.547629824199024,0.0624971195733145,19,3,0,2,33862,2,6,3918,3,2,38847,5497,37,569
21,90153,29.53382873921596,0.1759471402733378,36,1,1,4,4920,2,4,4483,3,0,37042,38085,41,315
56,128352,21.56457131020582,0.3255009028561425,1,3,0,2,9215,0,1,9203,0,2,12752,30543,28,826
56,115967,2.5317223971057325,0.7073892404294659,19,1,1,1,26290,1,8,2964,3,2,15173,36471,24,622
67,108989,11.848812828310463,0.9738779750040815,11,4,1,3,43732,2,0,7670,3,2,38921,39388,65,644
52,55079,15.518262080197996,0.34252081438591064,37,2,0,4,46619,2,3,7502,3,1,22661,43666,37,726
18,101556,25.170408094794055,0.5211444854026842,29,1,1,1,40598,1,6,1065,0,2,26146,21925,57,625
41,135477,21.88036602989318,0.2590555954224354,17,4,1,4,18556,0,7,1590,0,0,27597,15738,18,727
53,131889,11.080802118349167,0.6754896206096147,9,3,0,0,27988,0,9,7775,3,0,39944,49022,27,581
23,132321,19.602980625078867,0.36658586795044645,6,3,1,1,25456,1,5,7481,3,0,18265,35834,72,723
58,69323,17.30732723695138,0.48159617343827754,4,3,1,3,7424,1,6,9412,3,1,42179,47675,35,330
63,65320,3.781578268572207,0.5678128758506288,28,3,1,4,23504,1,8,2884,3,2,29421,5985,13,521
61,112098,7.045760789958015,0.6862423299072766,34,4,1,3,1186,2,5,6529,1,0,6458,12785,24,718
48,109909,10.233669381429431,0.060051661289753255,38,1,0,3,13603,1,6,4897,2,1,46746,23621,41,798
37,66105,5.864502190905087,0.5549010937865937,11,3,0,0,3597,0,1,2288,1,1,16959,31011,70,633
41,50164,4.504015374900766,0.431164097814436,9,3,1,2,8375,2,6,3368,0,0,5301,36688,46,321
42,21885,1.7459331039086112,0.13376508647966712,36,1,1,1,907,1,6,9264,2,0,42750,28241,119,463
53,77819,26.193076968267903,0.2080366683313617,1,4,0,2,5734,1,1,8661,2,1,6920,6806,89,394
38,149379,8.66830253894561,0.8838900911001375,2,3,0,2,28156,1,4,4482,0,1,18885,10023,60,810
47,21049,8.709618118006986,0.8717760091002368,13,2,1,0,4237,0,3,9397,2,1,23814,20864,25,647
41,73281,6.186844122904663,0.03333025442367488,19,4,1,3,21013,0,6,2506,0,1,26499,34814,74,589
61,63271,14.26192115591649,0.6894014912362523,3,2,0,3,43500,0,3,2821,1,1,12056,36435,63,795
59,86697,15.427259037671172,0.5541873131373541,25,4,1,1,17008,2,8,6329,0,0,9104,21248,102,428
47,86351,6.2484407587524,0.9398158431472485,14,3,1,0,30748,0,8,9464,3,2,33202,32080,18,536
39,56534,18.257110135909517,0.9080057110224158,8,4,1,4,32199,1,4,1360,0,0,36782,33280,16,352
45,113034,21.68999878781247,0.579561912852362,2,4,1,3,48714,0,7,8632,0,1,49552,15169,65,303
24,78097,11.215202578963558,0.13895492131850362,1,2,0,1,6493,2,2,3647,0,2,23954,39140,58,428
52,73813,17.56355090572316,0.45981502366930016,38,4,0,4,35514,0,3,7948,3,1,33938,29518,48,747
45,45037,15.069057154933388,0.7251643669290058,29,4,0,2,19285,2,1,4426,2,0,49680,13344,58,844
31,56007,5.866451950683064,0.9517366350898714,36,3,0,0,21006,1,2,1603,3,0,18794,24340,41,790
27,99478,21.900329663237336,0.3638294057525826,16,1,0,4,16494,2,3,4469,1,1,47120,44268,27,753
33,47278,24.04359083472142,0.7846714759535519,2,2,0,3,5720,0,8,5643,0,1,18959,34692,95,769
33,28272,19.463793467615027,0.6833407532817237,8,2,0,1,47350,1,3,9354,0,0,14653,25770,118,676
48,137492,9.716880833131539,0.07829277714226213,7,1,0,1,12108,0,0,8089,2,0,12364,28814,79,563
59,148913,27.803774832279036,0.557976850286288,8,2,0,0,38982,0,1,2669,2,0,14572,37229,91,725
42,77183,13.660751639853729,0.18350883353938585,16,3,1,2,8304,1,6,5820,0,2,26921,6733,49,318
30,119173,7.976354561552935,0.6835492921777645,23,4,0,3,10705,1,1,4803,0,2,18773,37633,17,319
23,58294,12.247038624658694,0.6100848469406392,7,4,1,2,38283,0,2,4336,0,0,25241,9912,94,810
61,93277,20.762252757246294,0.9730480916338331,13,3,1,0,33596,1,9,5108,2,1,27466,32774,57,803
26,82509,25.377953569777475,0.9353826651248095,15,2,1,0,49198,0,2,6711,3,0,22050,38874,27,410
62,24694,10.697264978486178,0.009372833598881192,17,4,0,2,43801,2,7,4310,1,0,24846,35084,75,359
53,115842,6.978733380281241,0.08002943017169961,23,1,1,4,25156,2,6,5974,0,1,49303,32694,100,741
60,78150,18.794793955056146,0.7691343114295612,38,4,0,4,39154,0,0,7121,0,2,47153,23836,102,424
37,87470,27.636453003188564,0.6856430729760769,26,3,0,0,8647,2,7,6744,0,2,25292,21974,70,788
35,41556,5.498800906782648,0.8009455985168914,27,4,0,4,2979,0,2,4606,3,0,15497,38434,101,837
60,84471,24.090581468980997,0.26681492266832363,6,3,1,4,18614,1,4,7623,0,1,35018,45964,18,686
38,69855,14.298215444624525,0.8493227687624766,33,2,1,1,5444,2,6,6869,2,0,20942,27678,35,677
21,69086,23.985375118862752,0.4424194719881359,26,1,0,2,30037,1,2,7688,0,0,28169,23093,40,598
67,38907,15.166234493198727,0.2619084846744417,33,3,1,1,47062,0,7,6941,1,1,8042,43184,96,369
50,137327,11.31983322906658,0.010607747584892357,38,1,0,1,31730,0,7,1596,1,0,49876,46428,68,728
44,91695,20.902230006289525,0.8713640348195938,18,2,1,0,30098,2,8,8491,1,1,16204,24144,21,301
24,68487,27.01881883784692,0.5353438492401724,5,2,1,0,16033,1,5,3530,3,2,11890,32958,106,765
23,49158,9.607551911105432,0.9753820837519926,29,3,1,0,27589,0,1,8987,3,1,48146,33129,45,557
32,40293,13.822444049831155,0.7146813895672595,27,4,0,1,11002,0,7,9650,3,2,30937,33463,69,356
35,65761,6.8820188008956755,0.08041714348977858,11,1,1,3,19069,1,9,9232,1,0,44314,35630,81,356
49,132117,5.502283908520523,0.5881911864021424,14,4,0,1,44209,1,1,8317,3,0,6092,35159,116,802
28,119468,23.336704271765253,0.017124539823347495,38,1,1,1,25208,0,8,3601,0,2,46159,28053,41,682
37,53387,6.019923500653272,0.5577818542129321,38,2,1,1,15440,1,1,6177,0,0,30777,30102,35,694
41,60750,23.799545140033498,0.35020166309908074,14,2,0,4,42830,2,6,4124,3,0,19057,24438,117,526
32,88602,12.876511555207934,0.6432958347187656,35,2,1,4,21909,1,2,9381,2,1,21269,43441,94,368
65,41256,29.85146170223147,0.5415742062462707,2,4,0,0,36376,2,0,6667,2,1,49290,22859,81,349
24,126942,5.920242545738677,0.2613503234144884,0,2,0,1,45330,1,7,3995,1,2,32523,32621,26,325
38,120641,2.7893397753847804,0.162350609105824,6,4,1,1,46133,0,6,3856,0,1,33448,23629,119,557
59,143088,2.262992088104868,0.4047114863417496,8,2,0,0,40134,0,2,6284,3,0,28076,34687,115,537
43,25594,25.06254014172602,0.9868363148496045,0,4,1,2,21505,1,0,3962,0,1,11425,32609,13,430
61,22460,13.133289331750301,0.43569864054927165,4,3,0,3,9550,1,9,6609,0,1,49159,16538,51,698
31,92356,0.09373048942114881,0.7487871378222916,35,3,0,3,31765,0,3,2910,3,0,5395,42483,26,315
54,74698,26.243140875100078,0.05697352560537072,9,1,1,2,2541,1,4,6143,2,0,30011,44333,33,369
38,148853,26.307630207309135,0.3788657644174036,1,4,0,0,12453,0,2,9510,2,0,15282,16756,30,496
35,121746,24.192500220563726,0.5803230371990038,22,4,0,2,8308,0,4,5579,2,1,8940,49822,61,300
22,36191,7.449554490745275,0.7511965133284821,38,3,0,3,49000,0,0,5662,0,1,11161,43537,98,524
20,104631,11.182581602015192,0.52838365731706,28,3,0,2,2390,2,6,8802,0,0,21622,38325,111,522
40,134630,22.34778675586451,0.5152955458007813,18,3,1,1,34369,2,1,3876,2,0,43021,6724,13,382
43,30529,14.680593762227558,0.763906912597169,37,1,1,4,44915,2,4,7548,1,1,20558,48256,100,530
54,52175,4.614797301706575,0.31328771731890026,19,3,1,1,288,0,9,9444,2,1,25316,26261,35,685
41,37675,7.283947935830172,0.09061052087139254,11,1,0,3,24913,0,1,1004,0,0,31884,47005,69,696
66,63158,29.17768610254672,0.3471504710174057,10,1,0,4,7302,1,7,7623,0,0,40304,39648,30,517
36,66798,4.530393522813187,0.15899623544943464,34,3,1,4,28986,2,2,9591,0,0,33523,12790,80,627
68,90910,21.782422700345656,0.9659442041334333,6,3,1,2,7895,0,0,1858,2,2,9206,20393,84,536
42,45976,14.340549199786167,0.5775115474766916,22,3,1,1,37367,1,5,3699,0,2,5754,33327,24,364
38,83116,22.458049786564793,0.4466004313276186,16,4,0,2,34058,1,7,6312,2,0,21047,49484,19,799
29,98678,19.83339723433179,0.9120518781565673,1,2,1,3,47588,2,6,5216,0,2,33866,49880,87,391
58,82821,13.17501571662978,0.9003613873671032,4,4,0,4,23936,2,5,1225,3,0,27132,35093,103,350
50,137343,10.617324740492013,0.4156972790742096,20,1,0,2,49084,2,4,4180,1,0,18428,29328,30,393
67,32204,22.630777630683767,0.8747273622498103,12,1,1,4,21624,0,7,6473,2,2,7489,32622,80,460
21,75665,9.694236187794793,0.0640259331430123,10,2,0,1,2036,0,9,5269,1,0,39311,41206,32,464
59,27394,23.633144402657052,0.8857191453325468,23,2,1,3,37120,2,3,2775,0,2,48769,29728,108,766
24,135392,20.395291989973558,0.3105835285554317,32,3,1,1,25370,1,6,1927,3,2,38472,33018,116,371
39,84814,17.330075106995068,0.5651222843406213,26,4,0,2,8438,0,1,6564,0,1,42861,13172,101,702
50,53593,11.06402654706892,0.269688583272391,34,4,0,2,25160,0,8,1412,3,2,20044,33657,108,589
34,61964,6.152440732991248,0.9847995571693394,17,4,1,0,45504,2,7,4631,3,0,22928,20861,102,840
41,97188,21.312594037219917,0.07177998333628022,20,2,1,1,24395,0,3,4666,0,0,32591,15853,78,742
51,135064,2.7404768151174275,0.4469552867806511,3,4,1,3,40255,2,6,4396,3,0,16822,42701,24,686
45,119276,29.116267684672792,0.6209881548335613,31,2,1,4,46640,0,0,4060,2,2,10201,17419,116,804
60,73365,29.362437438464625,0.6156122523372904,10,4,1,0,23408,1,4,8238,2,0,20732,24580,100,613
58,129572,3.90667847874416,0.7387583897648439,2,2,1,3,5062,0,1,4789,1,1,44399,23146,14,595
56,20443,3.1180596891690673,0.7244153263220431,20,4,0,1,24313,2,1,7106,3,1,13435,34199,95,564
39,109439,12.381501812490903,0.7931427052003035,13,1,0,4,48290,1,1,8531,0,0,23973,24396,85,598
66,119058,28.910498167815064,0.23428740948969162,5,2,0,3,18360,1,1,9601,3,0,26981,42635,17,824
34,48180,12.009326976933389,0.37050649340189457,28,3,1,0,49046,2,4,9006,1,2,10680,17004,14,538
51,68791,10.914063252970045,0.3820331159802727,30,1,0,4,3663,1,3,7420,0,2,45083,6725,117,798
23,106655,21.107551769963138,0.955839660910142,27,1,1,1,18887,0,0,4031,0,2,30479,21506,114,396
63,95899,5.361937097856812,0.40931185708520823,35,2,1,4,10991,1,5,6328,2,1,32556,20439,26,804
23,63665,10.899704507212544,0.2218692107046769,27,4,0,1,47951,1,2,1126,3,2,9330,28346,115,734
51,123700,8.739223388234635,0.6323444263917507,18,4,0,2,28421,1,7,9507,2,2,6918,31362,21,827
18,117077,18.046038678918784,0.4272669148252283,2,2,1,2,30051,0,1,6886,0,2,44094,35961,74,603
27,23465,4.882586586424916,0.25008006311574826,11,4,0,1,7278,1,7,2148,0,1,6800,8673,112,527
38,88247,16.46103766818709,0.7151354744582011,35,4,1,3,39515,0,5,3248,0,0,24496,37619,32,579
22,71559,25.726397698105345,0.19192528664772845,23,4,0,0,14626,1,4,7647,3,1,5515,29459,89,303
19,45198,15.425116401228056,0.6333540406593484,11,2,0,2,41646,2,9,6070,3,0,43504,33947,83,565
39,74740,20.504898512942557,0.4305307097370771,23,2,0,3,39197,0,5,4438,1,1,46112,35380,110,341
65,42488,2.2574405303379863,0.31916716433067216,0,3,0,4,755,0,5,1855,1,0,22101,9067,65,841
19,58515,13.47016737741129,0.9459822674873012,27,4,0,2,2056,0,3,2886,3,0,47894,24876,16,556
27,136411,2.846795023075559,0.3244075078147799,15,4,0,3,35884,1,0,5203,1,1,8110,9498,44,464
51,109144,17.983850273599707,0.34750737414996824,20,2,0,0,15424,0,1,6767,3,1,38300,11773,48,449
33,47898,8.431631135214555,0.870638364133171,29,3,1,4,42123,2,7,2278,2,2,8421,17433,46,682
65,21919,8.617974929752439,0.12904336287549323,33,2,0,2,14672,2,8,7799,0,0,12156,16013,71,301
68,70070,2.3030021143494217,0.10806874964606106,25,2,1,2,32383,1,3,9242,1,0,39415,43670,62,621
56,82613,9.307135843222031,0.2827077840845025,34,3,1,0,13589,0,7,1523,1,0,20894,22125,22,594
39,116707,15.20031531321292,0.5916359232744598,30,2,0,1,29705,1,9,1882,3,1,48107,37612,104,510
29,131777,17.53980309515284,0.384300160110138,15,1,1,2,19801,2,5,6314,1,0,23391,27961,29,650
41,106135,1.999966538274699,0.6085544808356751,28,3,0,1,13709,1,0,2764,2,2,11000,22855,70,829
64,102501,19.543775571482104,0.15975063104443465,28,4,0,0,19672,2,5,7007,2,0,40723,39976,48,812
57,67003,14.666272822604839,0.26145084876734703,8,4,0,0,3566,2,6,3956,2,0,49014,44834,67,364
55,68478,16.107240237427042,0.5651623338124716,13,3,1,3,26250,1,0,2014,1,0,29930,24296,117,809
27,34434,24.98390021303384,0.21714920225873235,7,4,0,2,21906,2,8,9972,2,0,8332,40770,43,381
52,66246,10.266793359145996,0.4228046304904449,1,1,1,4,31978,2,5,1155,2,0,49609,15128,92,829
68,56649,5.221533340951041,0.5726478769916896,10,4,1,4,21810,2,7,6547,0,2,33078,16636,77,593
66,79030,16.554305271208623,0.9736509022809144,1,3,0,0,48155,0,7,1446,1,0,49393,28523,103,373
49,73061,28.350657526057162,0.07988665787759319,17,2,0,4,22810,2,8,6572,0,2,40373,10999,44,791
24,21999,15.536088575433935,0.46041397857090494,4,3,0,4,10747,1,0,8571,2,1,38697,29386,65,828
38,34849,24.957365223585192,0.39627096074213086,6,3,1,4,45962,0,5,4419,2,1,15964,16613,89,306
37,96439,22.71096163383099,0.8242412494511779,22,1,1,3,2197,0,8,6676,0,1,22740,43311,49,769
43,135088,15.549923610294945,0.9002971190284342,18,4,0,3,48280,1,7,2720,3,2,35290,48279,41,347
21,133004,19.426643329602676,0.9070131685313649,18,3,1,0,35805,2,3,9022,2,2,30733,44188,18,830
63,72800,12.200405522899755,0.37513931304159376,18,4,0,4,24338,1,4,3689,1,1,25076,43954,111,711
69,25445,15.918860672915812,0.304655146895482,39,2,0,0,30143,1,8,5126,1,1,21045,23613,37,455
39,120932,15.21857265871904,0.4491372504550847,27,3,1,0,36102,2,4,7993,2,0,43654,16973,116,335
32,38040,21.27331088873319,0.343986305971803,10,3,1,0,48376,2,8,7638,3,2,19998,31285,99,451
57,135308,12.29943958068848,0.7188509805681935,10,4,1,3,22405,0,0,4798,1,1,12702,13663,60,663
38,84315,2.9930136786642016,0.21357104862958254,8,1,0,3,24200,0,9,3072,1,2,20357,20029,32,374
32,20246,23.661285684408686,0.6586840840738812,13,1,1,2,48757,2,8,8140,2,2,20851,31913,64,563
39,51153,20.545590099846226,0.9269875331045009,33,4,1,4,19345,2,9,4106,2,2,43275,44805,89,347
69,25212,28.503703663720962,0.2799135696961099,28,3,0,1,46494,1,8,7254,1,1,20995,29422,90,701
45,23339,12.861485275435884,0.6768906165888243,20,2,1,3,36549,2,5,8496,3,1,41392,12455,107,778
31,108678,2.3461697073328414,0.14356112155737832,4,1,1,1,39228,2,6,3220,2,0,14068,42849,25,734
44,76238,3.6485695908972895,0.12138394209725911,32,1,1,4,26797,2,5,1534,0,2,18236,32448,107,741
58,39394,23.19958629609234,0.115644478064866,8,2,1,4,33012,2,3,4657,2,2,9504,26147,101,563
57,73871,2.032718483358058,0.13852816984534888,2,1,1,3,24917,2,6,1783,3,2,12809,18444,62,685
45,120672,27.234784347878563,0.21616487030944198,13,4,0,1,37342,1,1,7147,3,0,30122,35530,93,373
43,97722,8.44950333885556,0.5628304956017943,17,3,0,0,49428,2,2,8518,3,2,7522,31837,77,749
66,54607,26.966371217379745,0.7669856486155374,11,1,0,0,43774,1,3,4651,2,0,23003,7013,30,327
19,72055,23.205205464028385,0.12685702371091578,22,2,0,3,5020,1,2,1625,0,0,28151,48032,35,694
42,124509,26.1360310887507,0.8700149405907247,13,4,0,1,19540,0,8,7964,3,0,48955,34437,62,423
20,24395,6.421190753098972,0.842716284430226,15,4,1,3,12340,1,3,1397,2,0,47086,12194,36,650
